stage,gap_idx,gap,n_total,n_valid,pearson_r,spearman_r,ref_mean,ref_std,pred_mean,pred_std,diff_mean,diff_std,allowed_mean,allowed_std,violation_mean,violation_std,violation_fraction
eval,0,1,279,279,0.034382020734670546,0.06841865535598139,0.03407908249045572,0.02254173689863049,0.07377115865716816,0.06126312183296421,0.039692076166712435,0.06454717985683155,0.04259885275255768,0.028177170680982414,0.04380493471065142,0.05383675251520977,0.5913978494623656
eval,1,2,279,279,-0.14173721450236196,-0.0991475925589878,0.05671924040202172,0.039454644721722075,0.05830542459007511,0.04815485902534798,0.0015861841880533936,0.066439008262741,0.07089905074286845,0.049318306502855076,0.02413087242740243,0.03632030034387657,0.3942652329749104
eval,2,3,279,279,-0.22062400365197005,-0.2523743331846007,0.06688130514756326,0.03597739296880004,0.08133376956346014,0.06031112209005247,0.014452464415896876,0.07674138699856875,0.08360163074347281,0.04497174088050696,0.034409326958506764,0.04798241098920773,0.4336917562724014
eval,3,4-6,279,279,-0.2397972549665858,-0.2839341856260951,0.06851554223366323,0.03588819649978644,0.07974115767521203,0.053762636099418205,0.011225615441548807,0.07144042595993584,0.08564442804744167,0.04486024590509319,0.031085223093041382,0.04563300842115341,0.3978494623655914
eval,4,7-12,279,279,-0.2149735577987853,-0.2623353649657566,0.06025758109265758,0.032077718232950275,0.056493587313368336,0.044542009338623165,-0.003763993779289246,0.0602269178373927,0.07532197639586465,0.04009714809115893,0.020730344017827383,0.033784890735826224,0.35125448028673834
eval,5,13-24,279,279,-0.09214651709278628,-0.04820303491300616,0.05072826711881545,0.02794677494220571,0.05080678567752214,0.04153184120563824,7.851855870668699e-05,0.0521519078302407,0.06341033356805001,0.034933467715167234,0.018666801346619497,0.030328136875525682,0.3655913978494624
eval,6,25-48,279,279,0.008895152614369618,0.08945026441639396,0.042228539774735126,0.024128563151063116,0.04339877580270383,0.04026306012340686,0.0011702360279687006,0.04675487643407692,0.05278567477099357,0.030160704162573156,0.016098751526285884,0.028959259691055957,0.3333333333333333
